system:index,AssemblageMode,latitude,longitude,x,.geo
0_13327,0,21.03337864,107.0606317,0.038365261,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.06063165664649,21.033378641186438]}"
0_13071,0,20.50031835,99.27142966,0.041643538,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.27142965946267,20.500318351589286]}"
0_4281,0,22.28518099,101.5373401,0.042274752,"{""geodesic"":true,""type"":""Point"",""coordinates"":[101.53734013215829,22.28518098960847]}"
0_11006,0,14.65444181,105.6457851,0.042937811,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.64578508413793,14.6544418086462]}"
0_14001,0,22.39001438,92.99409229,0.044097049,"{""geodesic"":true,""type"":""Point"",""coordinates"":[92.99409228547371,22.39001438326534]}"
0_3013,0,16.77239975,100.8857022,0.044939816,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.88570222504863,16.772399754017293]}"
1_6095,1,17.03003658,107.2473914,1.72E-04,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.24739140421762,17.030036577503076]}"
1_12739,1,17.59893965,94.34749409,4.50E-04,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.34749409254762,17.598939646936635]}"
1_2177,1,7.730856419,98.6421598,6.07E-04,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.6421598029279,7.730856419343649]}"
1_5355,1,8.810721222,105.0334934,0.00133267,"{""geodesic"":true,""type"":""Point"",""coordinates"":[105.03349338647327,8.810721222385002]}"
1_3150,1,8.761134219,97.87814265,0.001805552,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.87814265377328,8.761134218701546]}"
1_2740,1,17.06560986,96.94623038,0.00194934,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.9462303780143,17.06560986275425]}"
1_6988,1,7.996308586,98.86395385,0.002006116,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.8639538465802,7.996308585801284]}"
1_4773,1,10.41151906,102.9300881,0.002101646,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.9300881486772,10.411519058687876]}"
1_6748,1,16.39375986,97.34292641,0.002311666,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.34292640748718,16.393759861760465]}"
1_9991,1,9.327881331,98.38182803,0.002476453,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.38182803358633,9.327881331453217]}"
1_11037,1,6.970073205,101.6653501,0.003710479,"{""geodesic"":true,""type"":""Point"",""coordinates"":[101.66535006014716,6.970073205221933]}"
1_8372,1,20.69516294,106.3103587,0.004800569,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.3103587313391,20.695162936715043]}"
1_4993,1,13.41395823,100.8129387,0.005362179,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.8129386870339,13.41395823280409]}"
1_7286,1,11.54177935,98.31687984,0.005647939,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.31687983854356,11.54177934916839]}"
1_5974,1,12.69279072,98.66102442,0.006159006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.66102442389469,12.692790722712086]}"
1_2655,1,13.75729433,97.73423255,0.006890429,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.73423254525527,13.757294334394976]}"
1_14990,1,17.59301077,94.49302117,0.008097981,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.49302116857707,17.59301076606144]}"
1_10134,1,11.56306942,98.36592785,0.008193688,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.36592785305719,11.563069421402044]}"
1_926,1,10.32069938,98.18132406,0.008618721,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.18132406216797,10.320699383463282]}"
1_1187,1,10.20239126,99.73873327,0.008978593,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.73873327026836,10.202391260544605]}"
1_2450,1,14.3116447,97.77735168,0.009620833,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.77735167889362,14.311644696225786]}"
1_1723,1,8.408096312,100.7668551,0.010211225,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.76685511295791,8.408096312042158]}"
1_3375,1,11.85331509,102.2334446,0.010516519,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.2334446458325,11.853315089701407]}"
1_2818,1,26.37934273,96.78237767,0.010764863,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.78237767018855,26.379342728516427]}"
1_7868,1,19.47489145,93.54628669,0.011835253,"{""geodesic"":true,""type"":""Point"",""coordinates"":[93.54628669062991,19.474891454765647]}"
1_5328,1,10.84675281,97.71752388,0.012026185,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.7175238809704,10.846752813844294]}"
1_8759,1,15.64348694,97.68275908,0.012705072,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.68275907947448,15.643486936462958]}"
1_9081,1,20.21330662,92.43165709,0.013064775,"{""geodesic"":true,""type"":""Point"",""coordinates"":[92.4316570860784,20.213306618312764]}"
1_1556,1,18.0640873,95.44676251,0.013712387,"{""geodesic"":true,""type"":""Point"",""coordinates"":[95.44676250574047,18.064087301054272]}"
1_3610,1,9.345398479,104.7540275,0.013837616,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.75402750157967,9.345398479493571]}"
1_12501,1,9.649927361,98.25516558,0.0142056,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.25516557852366,9.649927360810448]}"
1_12083,1,19.27708243,93.42717008,0.014602234,"{""geodesic"":true,""type"":""Point"",""coordinates"":[93.42717008395395,19.277082429202295]}"
1_6947,1,13.19701509,109.409816,0.014684744,"{""geodesic"":true,""type"":""Point"",""coordinates"":[109.40981595618119,13.19701509168897]}"
1_9547,1,11.49839072,99.69911757,0.016876953,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.69911756623812,11.498390720945363]}"
1_9599,1,13.44953152,98.01962731,0.017910867,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.01962731102414,13.449531518055265]}"
1_4736,1,18.69254867,94.177982,0.01906815,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.17798199843183,18.69254867382503]}"
1_6407,1,9.7027483,104.6408398,0.019772461,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.64083977577899,9.702748299516738]}"
1_5127,1,20.82263388,107.7968909,0.022131914,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.79689086352143,20.82263387553175]}"
1_6971,1,10.05309126,108.8048006,0.022269309,"{""geodesic"":true,""type"":""Point"",""coordinates"":[108.804800612318,10.053091260323765]}"
1_13858,1,16.43634001,96.566782,0.022290331,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.56678200199677,16.43634000622778]}"
1_13463,1,8.681902811,106.2297799,0.022416808,"{""geodesic"":true,""type"":""Point"",""coordinates"":[106.22977985035241,8.68190281064211]}"
1_14950,1,12.71596726,100.6913966,0.022712428,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.69139662909079,12.715967257042397]}"
1_14461,1,10.44143296,103.8361289,0.0239618,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.83612894425316,10.441432957649088]}"
1_9014,1,11.62128025,97.60298868,0.024913364,"{""geodesic"":true,""type"":""Point"",""coordinates"":[97.60298868224352,11.621280251813058]}"
1_7534,1,11.30489361,104.9391703,0.024928206,"{""geodesic"":true,""type"":""Point"",""coordinates"":[104.93917028163936,11.30489360874579]}"
1_4510,1,11.45419361,99.81634771,0.02588011,"{""geodesic"":true,""type"":""Point"",""coordinates"":[99.8163477108174,11.45419360896663]}"
1_6502,1,8.494065085,100.6585183,0.027864289,"{""geodesic"":true,""type"":""Point"",""coordinates"":[100.65851828969154,8.494065084732494]}"
1_6322,1,18.54486564,94.1480681,0.028410057,"{""geodesic"":true,""type"":""Point"",""coordinates"":[94.14806809947022,18.544865641115607]}"
